n - output - error - time
5 - 0.35244264387437996 - 0.15967693291560342 - 0.00028245300000007134
5 - 0.35244264387437996 - 0.15967693291560342 - 0.00036826000000000914
5 - 0.35244264387437996 - 0.15967693291560342 - 0.0003387969999999463
5 - 0.35244264387437996 - 0.15967693291560342 - 0.00041080900000001197
5 - 0.35244264387437996 - 0.15967693291560342 - 0.00020798500000007714
10 - 0.11804769910330243 - 0.07471801185547411 - 0.015201450999999921
10 - 0.11804769910330243 - 0.07471801185547411 - 0.012712433999999995
10 - 0.11804769910330243 - 0.07471801185547411 - 0.012841528000000046
10 - 0.11804769910330243 - 0.07471801185547411 - 0.01331609399999989
10 - 0.11804769910330243 - 0.07471801185547411 - 0.012261268999999908
15 - 0.20551210945214737 - 0.012746398493370836 - 0.14098652900000008
15 - 0.20551210945214737 - 0.012746398493370836 - 0.1411177910000001
15 - 0.20551210945214737 - 0.012746398493370836 - 0.140935413
15 - 0.20551210945214737 - 0.012746398493370836 - 0.14513363299999993
15 - 0.20551210945214737 - 0.012746398493370836 - 0.15585423600000015
20 - 0.1738444015034731 - 0.01892130945530343 - 1.0139531039999996
20 - 0.1738444015034731 - 0.01892130945530343 - 0.873687543
20 - 0.1738444015034731 - 0.01892130945530343 - 0.8014259929999996
20 - 0.1738444015034731 - 0.01892130945530343 - 0.7985043170000008
20 - 0.1738444015034731 - 0.01892130945530343 - 0.8007358060000005
25 - 0.1898553059863552 - 0.0029104049724213432 - 3.1090535479999986
25 - 0.1898553059863552 - 0.0029104049724213432 - 3.084559070000001
25 - 0.1898553059863552 - 0.0029104049724213432 - 3.179136492999998
25 - 0.1898553059863552 - 0.0029104049724213432 - 3.104651784000005
25 - 0.1898553059863552 - 0.0029104049724213432 - 3.184123397999997
30 - 0.1846608491540617 - 0.008104861804714841 - 10.244261494999996
30 - 0.1846608491540617 - 0.008104861804714841 - 9.893302938999994
30 - 0.1846608491540617 - 0.008104861804714841 - 9.87919595000001
30 - 0.1846608491540617 - 0.008104861804714841 - 9.880523017000002
30 - 0.1846608491540617 - 0.008104861804714841 - 9.868692518000017
35 - 0.18947062507227472 - 0.0032950858865018195 - 33.88522798400001
35 - 0.18947062507227472 - 0.0032950858865018195 - 33.85608677799999
35 - 0.18947062507227472 - 0.0032950858865018195 - 33.87629597799997
35 - 0.18947062507227472 - 0.0032950858865018195 - 33.99284969400003
35 - 0.18947062507227472 - 0.0032950858865018195 - 33.93218698000004
40 - 0.1882179605108282 - 0.004547750447948334 - 186.52608132700004
40 - 0.1882179605108282 - 0.004547750447948334 - 187.31441854600007
40 - 0.1882179605108282 - 0.004547750447948334 - 189.4161295010001
40 - 0.1882179605108282 - 0.004547750447948334 - 190.37749886400024
40 - 0.1882179605108282 - 0.004547750447948334 - 189.01892969599976
