n - output - error - time
5 - 0.06266255601147169 - 0.13010315494730484 - 0.0003405040001780435
5 - 0.06266255601147169 - 0.13010315494730484 - 0.00024842699986038497
5 - 0.06266255601147169 - 0.13010315494730484 - 0.00024396999992859492
5 - 0.06266255601147169 - 0.13010315494730484 - 0.0002543670000250131
5 - 0.06266255601147169 - 0.13010315494730484 - 0.00024397800007136539
10 - 0.18156741379130925 - 0.011198297167467286 - 0.015891232000058153
10 - 0.18156741379130925 - 0.011198297167467286 - 0.01636435699992944
10 - 0.18156741379130925 - 0.011198297167467286 - 0.015673441999979332
10 - 0.18156741379130925 - 0.011198297167467286 - 0.01631528799998705
10 - 0.18156741379130925 - 0.011198297167467286 - 0.015528675000041403
15 - 0.19588692314953532 - 0.003121212190758782 - 0.20079078499998104
15 - 0.19588692314953532 - 0.003121212190758782 - 0.18260917600014182
15 - 0.19588692314953532 - 0.003121212190758782 - 0.18528236800011655
15 - 0.19588692314953532 - 0.003121212190758782 - 0.18388236800001323
15 - 0.19588692314953532 - 0.003121212190758782 - 0.1828236679998554
20 - 0.19563640291290949 - 0.002870691954132948 - 1.060237885999868
20 - 0.19563640291290949 - 0.002870691954132948 - 1.227619008000147
20 - 0.19563640291290949 - 0.002870691954132948 - 1.041318315999888
20 - 0.19563640291290949 - 0.002870691954132948 - 1.0373626880000302
20 - 0.19563640291290949 - 0.002870691954132948 - 1.0391787350001778
25 - 0.19524029458480618 - 0.002474583626029647 - 4.073968878999949
25 - 0.19524029458480618 - 0.002474583626029647 - 4.047130821999872
25 - 0.19524029458480618 - 0.002474583626029647 - 4.045688641999959
25 - 0.19524029458480618 - 0.002474583626029647 - 4.061605600999883
25 - 0.19524029458480618 - 0.002474583626029647 - 4.2391494819999025
30 - 0.1950701578301644 - 0.0023044468713878663 - 13.966316559999996
30 - 0.1950701578301644 - 0.0023044468713878663 - 14.322502593000081
30 - 0.1950701578301644 - 0.0023044468713878663 - 14.142335848999892
30 - 0.1950701578301644 - 0.0023044468713878663 - 14.018854994000094
30 - 0.1950701578301644 - 0.0023044468713878663 - 14.107971376000023
35 - 0.19494760871421507 - 0.0021818977554385333 - 56.65249942500009
35 - 0.19494760871421507 - 0.0021818977554385333 - 56.22824875299989
35 - 0.19494760871421507 - 0.0021818977554385333 - 56.84760491200018
35 - 0.19494760871421507 - 0.0021818977554385333 - 55.93012011400015
35 - 0.19494760871421507 - 0.0021818977554385333 - 55.795378763000144
40 - 0.19483300207389675 - 0.002067291115120218 - 387.232086192
40 - 0.19483300207389675 - 0.002067291115120218 - 383.6045116460002
40 - 0.19483300207389675 - 0.002067291115120218 - 383.8565141879999
40 - 0.19483300207389675 - 0.002067291115120218 - 384.0412280119999
40 - 0.19483300207389675 - 0.002067291115120218 - 366.218600443
