n - output - var - error - time
10 - 0.2553962651291893 - 0.0733237182983304 - 0.06263055417041274 - 0.26395755200019266
10 - 0.2553962651291893 - 0.0733237182983304 - 0.06263055417041274 - 0.1698802490000162
10 - 0.1439025936170799 - 0.04543151717517037 - 0.04886311734169663 - 0.17587633099992672
10 - 0.1439025936170799 - 0.04543151717517037 - 0.04886311734169663 - 0.1691331590000118
10 - 0.1439025936170799 - 0.04543151717517037 - 0.04886311734169663 - 0.1719241329997203
100 - 0.1888515718669856 - 0.1116969828449881 - 0.003914139091790947 - 0.16884862300003078
100 - 0.1888515718669856 - 0.1116969828449881 - 0.003914139091790947 - 0.16575230700027532
100 - 0.1888515718669856 - 0.1116969828449881 - 0.003914139091790947 - 0.16200456199976543
100 - 0.2199125937300208 - 0.1574921830493578 - 0.027146882771244274 - 0.1686500209998485
100 - 0.2199125937300208 - 0.1574921830493578 - 0.027146882771244274 - 0.17784012499987512
1000 - 0.1820702956518091 - 0.109055271246778 - 0.010695415306967437 - 0.16524952200006737
1000 - 0.1820702956518091 - 0.109055271246778 - 0.010695415306967437 - 0.16803991699998733
1000 - 0.1820702956518091 - 0.109055271246778 - 0.010695415306967437 - 0.16214063000006718
1000 - 0.1820702956518091 - 0.109055271246778 - 0.010695415306967437 - 0.17411250199984352
1000 - 0.1997085877419829 - 0.1671226153849141 - 0.006942876783206375 - 0.16619114800005264
10000 - 0.1930233049431042 - 0.1645292179090126 - 0.00025759398432767533 - 0.17227386100012154
10000 - 0.1930233049431042 - 0.1645292179090126 - 0.00025759398432767533 - 0.16280465200043182
10000 - 0.1930233049431042 - 0.1645292179090126 - 0.00025759398432767533 - 0.18073853199985024
10000 - 0.1930233049431042 - 0.1645292179090126 - 0.00025759398432767533 - 0.17427975600003265
10000 - 0.1994225477663078 - 0.2371281789476269 - 0.006656836807531263 - 0.17224253699987457
100000 - 0.1941037080159577 - 0.1628437208660145 - 0.0013379970571811561 - 0.1849830739997742
100000 - 0.1941037080159577 - 0.1628437208660145 - 0.0013379970571811561 - 0.1812986070003717
100000 - 0.1941037080159577 - 0.1628437208660145 - 0.0013379970571811561 - 0.19675600700020368
100000 - 0.1941037080159577 - 0.1628437208660145 - 0.0013379970571811561 - 0.18385661899992556
100000 - 0.1941037080159577 - 0.1628437208660145 - 0.0013379970571811561 - 0.18469202300002507
500000 - 0.1934579830861645 - 0.1648236106313342 - 0.0006922721273879551 - 0.26751129100011894
500000 - 0.1934579830861645 - 0.1648236106313342 - 0.0006922721273879551 - 0.26166305600008855
500000 - 0.1934579830861645 - 0.1648236106313342 - 0.0006922721273879551 - 0.26106960900006015
500000 - 0.1934579830861645 - 0.1648236106313342 - 0.0006922721273879551 - 0.2655123449999337
500000 - 0.1927112151530668 - 0.162714588169809 - 5.4495805709736667e-05 - 0.25849289799998587
1000000 - 0.192826805492504 - 0.1607144984345035 - 6.109453372746265e-05 - 0.345203305999803
1000000 - 0.192826805492504 - 0.1607144984345035 - 6.109453372746265e-05 - 0.36366086699990774
1000000 - 0.1934200807011475 - 0.1813233146727128 - 0.0006543697423709582 - 0.3460113959999944
1000000 - 0.1934200807011475 - 0.1813233146727128 - 0.0006543697423709582 - 0.40835869399961666
1000000 - 0.1934200807011475 - 0.1813233146727128 - 0.0006543697423709582 - 0.35959649500000523
