n - output - var - error - time
10 - 0.00192032971295393 - 4.89272617837236e-06 - 0.19084538124582262 - 3.1352999940281734e-05
10 - 0.00192032971295393 - 4.89272617837236e-06 - 0.19084538124582262 - 9.715000032883836e-06
10 - 0.00192032971295393 - 4.89272617837236e-06 - 0.19084538124582262 - 9.714000043459237e-06
10 - 0.00192032971295393 - 4.89272617837236e-06 - 0.19084538124582262 - 8.566999895265326e-06
10 - 0.00192032971295393 - 4.89272617837236e-06 - 0.19084538124582262 - 8.323000201926334e-06
100 - 0.006624459723807086 - 0.0011127506764988019 - 0.18614125123496944 - 1.6741000308684306e-05
100 - 0.006624459723807086 - 0.0011127506764988019 - 0.18614125123496944 - 1.640900018173852e-05
100 - 0.006624459723807086 - 0.0011127506764988019 - 0.18614125123496944 - 1.569599999129423e-05
100 - 0.006624459723807086 - 0.0011127506764988019 - 0.18614125123496944 - 1.1474000075395452e-05
100 - 0.006624459723807086 - 0.0011127506764988019 - 0.18614125123496944 - 1.1111999810964335e-05
1000 - 0.0976204676494263 - 4.783826540245354 - 0.09514524330935023 - 9.249699996871641e-05
1000 - 0.0976204676494263 - 4.783826540245354 - 0.09514524330935023 - 7.035099997665384e-05
1000 - 0.0976204676494263 - 4.783826540245354 - 0.09514524330935023 - 6.905500003995257e-05
1000 - 0.0976204676494263 - 4.783826540245354 - 0.09514524330935023 - 9.916299995893496e-05
1000 - 0.0976204676494263 - 4.783826540245354 - 0.09514524330935023 - 6.905899999765097e-05
10000 - 0.3711758523044516 - 331.6626066862179 - 0.17841014134567507 - 0.0006930499998816231
10000 - 0.3711758523044516 - 331.6626066862179 - 0.17841014134567507 - 0.0006490790001407731
10000 - 0.3711758523044516 - 331.6626066862179 - 0.17841014134567507 - 0.0008706180001354369
10000 - 0.3711758523044516 - 331.6626066862179 - 0.17841014134567507 - 0.0008177260001502873
10000 - 0.3711758523044516 - 331.6626066862179 - 0.17841014134567507 - 0.0006545679998453124
100000 - 0.2519187109603254 - 298.17138404544255 - 0.05915300000154888 - 0.00824443200008318
100000 - 0.2519187109603254 - 298.17138404544255 - 0.05915300000154888 - 0.008886074000201916
100000 - 0.2519187109603254 - 298.17138404544255 - 0.05915300000154888 - 0.006442118999984814
100000 - 0.2519187109603254 - 298.17138404544255 - 0.05915300000154888 - 0.007070719000239478
100000 - 0.2519187109603254 - 298.17138404544255 - 0.05915300000154888 - 0.007213197000055516
500000 - 0.1973670683929935 - 151.77595598106666 - 0.004601357434216968 - 0.03444209100007356
500000 - 0.1973670683929935 - 151.77595598106666 - 0.004601357434216968 - 0.03405518399995344
500000 - 0.1973670683929935 - 151.77595598106666 - 0.004601357434216968 - 0.03245020099984686
500000 - 0.1973670683929935 - 151.77595598106666 - 0.004601357434216968 - 0.03584942499992394
500000 - 0.1973670683929935 - 151.77595598106666 - 0.004601357434216968 - 0.03514348099997733
1000000 - 0.1830487325869216 - 117.62035289675576 - 0.00971697837185495 - 0.06490220700015925
1000000 - 0.1830487325869216 - 117.62035289675576 - 0.00971697837185495 - 0.06428714499998023
1000000 - 0.1830487325869216 - 117.62035289675576 - 0.00971697837185495 - 0.06433011099989017
1000000 - 0.1830487325869216 - 117.62035289675576 - 0.00971697837185495 - 0.06420469599970602
1000000 - 0.1830487325869216 - 117.62035289675576 - 0.00971697837185495 - 0.06519583899989811
